"title","author","publication_year","genre","synopsis"
"Novelas de aventuras medievales","Isabel Lozano Renieblas","2003","Adventure stories, Spanish","Obra de Isabel Lozano Renieblas, publicada en 2003."
"La novela romántica en España","Russell P. Sebold","2002","Literary Criticism","Obra de Russell P. Sebold, publicada en 2002."
"Las 10 mejores novelas de la literatura boliviana","Carlos D. Mesa G.","2004","Authors, Bolivian","Obra de Carlos D. Mesa G., publicada en 2004."
"La novela en Colombia","Roberto Cortázar","1908","Colombian fiction","Obra de Roberto Cortázar, publicada en 1908."
"Indice de escritores latinoamericanos","Jorge Ruiz Gusils","2002","Reference","Obra de Jorge Ruiz Gusils, publicada en 2002."
"Orígenes de la novela: 1 of the series Introducción; tratado histórico sobre la primitiva novela española","Marcelino Menéndez y Pelayo","1905","Spanish fiction","Obra de Marcelino Menéndez y Pelayo, publicada en 1905."
"Origenes de la novela","Marcelino Menéndez y Pelayo","1910","Spanish literature","Obra de Marcelino Menéndez y Pelayo, publicada en 1910."
"José Donoso","Miguel Angel Náter","2007","Chilean literature","Obra de Miguel Angel Náter, publicada en 2007."
"Las Mejores Novelas Contemporáneas","Joaquín de Entrambasaguas","1957","Spanish fiction","Obra de Joaquín de Entrambasaguas, publicada en 1957."
"Dos novelas","Alonso Jerónimo de Salas Barbadillo","1894","Ficción","Obra de Alonso Jerónimo de Salas Barbadillo, publicada en 1894."
"Tres novelas ejemplares y un prólogo","Miguel de Unamuno","1920","Fiction","Obra de Miguel de Unamuno, publicada en 1920."
"Novelas cortas","Pedro Antonio de Alarcón","1881","Ficción","Obra de Pedro Antonio de Alarcón, publicada en 1881."
"De mi vida y milagros","Luis Bonafoux y Quintero","1909","Ficción","Obra de Luis Bonafoux y Quintero, publicada en 1909."
"Coleccion de obras completas: Alivio de caminantes","Ricardo León","1929","Ficción","Obra de Ricardo León, publicada en 1929."
"La altísima","Felipe Trigo","1920","Ficción","Obra de Felipe Trigo, publicada en 1920."
"Lope de Vega, Shakespeare, Ibsen, Wilde, Don Juan","Ramón Pérez de Ayala","1924","Drama","Obra de Ramón Pérez de Ayala, publicada en 1924."
"Obras completas de Ramón Pérez de Ayala: El sendero innumerable. 1924","Ramón Pérez de Ayala","1924","Ficción","Obra de Ramón Pérez de Ayala, publicada en 1924."
"Troteras y danzaderas","Ramón Pérez de Ayala","1923","Ficción","Obra de Ramón Pérez de Ayala, publicada en 1923."
"Resumen de historia de la literatura española","Ernest Mérimée","1929","Spanish literature","Obra de Ernest Mérimée, publicada en 1929."
"Al pie de la torre Eiffel","Emilia Pardo Bazán (condesa de)","1899","Ficción","Obra de Emilia Pardo Bazán (condesa de), publicada en 1899."
"Subject Catalog","Library of Congress","1976","Catalogs, Subject","Obra de Library of Congress, publicada en 1976."
"Bulletin of the Public Library of the City of Boston","Boston Public Library","1892","Boston (Mass.)","Obra de Boston Public Library, publicada en 1892."
"Cervantes","José de Castro y Serrano","1904","Ficción","Obra de José de Castro y Serrano, publicada en 1904."
"Escorzos","J. Graterol y Morales","1900","Venezuelan essays","Obra de J. Graterol y Morales, publicada en 1900."
"Catalog","University of Texas. Library. Latin American Collection","1969","Latin America","Obra de University of Texas. Library. Latin American Collection, publicada en 1969."
"Catálogo de libros españoles ó relativos a España antiguos y modernos, puestos en venta a los precios marcados","García Ríco, firm, booksellers, Madrid","1920","Booksellers' catalogs","Obra de García Ríco, firm, booksellers, Madrid, publicada en 1920."
"El miedo de los felices","Felipe Sassone","1914","Ficción","Obra de Felipe Sassone, publicada en 1914."
"Subject Index of Modern Books Acquired","British Library","1971","Best books","Obra de British Library, publicada en 1971."
"Труды По Романо-германской Филологии","Tartu Riiklik Ülikool","1979","Germanic philology","Obra de Tartu Riiklik Ülikool, publicada en 1979."
"Classed List","Princeton University. Library","1920","Classified catalogs","Obra de Princeton University. Library, publicada en 1920."
"La Lectura","Francisco López Acebal","1918","Periodicals","Obra de Francisco López Acebal, publicada en 1918."
"Index to Latin American Periodical Literature, 1929-1960","Columbus Memorial Library","1962","Latin America","Obra de Columbus Memorial Library, publicada en 1962."
"The British Library general catalogue of printed books to 1975","British Library","1984","Reference","Obra de British Library, publicada en 1984."
"Folletos literarios","Leopoldo Alas","1886","Spanish literature","Obra de Leopoldo Alas, publicada en 1886."
"Folletos literarios ...: Apolo en Pafos","Leopoldo Alas","1887","Spanish literature","Obra de Leopoldo Alas, publicada en 1887."
"Sáhara","Clive Cussler","2005","Fiction","Searching for a treasure on the Nile, Dirk Pitt thwarts the attempted assassination of a beautiful U.N. scientist investigating a disease that is driving thousands of North Africans into madness, can…"
"Inter-America","James Cook Bardin","1922","Latin America","Consists of English translations of articles in the Spanish American press."
"En el país del arte","Vicente Blasco Ibáñez","1919","Italy","Obra de Vicente Blasco Ibáñez, publicada en 1919."
